model_date,Geo,Geo_Level,Freq,Incidents
2015-01-01,Buffalo,City,daily,69
2015-01-02,Buffalo,City,daily,48
2015-01-03,Buffalo,City,daily,45
2015-01-04,Buffalo,City,daily,40
2015-01-05,Buffalo,City,daily,36
2015-01-06,Buffalo,City,daily,31
2015-01-07,Buffalo,City,daily,26
2015-01-08,Buffalo,City,daily,46
2015-01-09,Buffalo,City,daily,26
2015-01-10,Buffalo,City,daily,36
2015-01-11,Buffalo,City,daily,49
2015-01-12,Buffalo,City,daily,41
2015-01-13,Buffalo,City,daily,42
2015-01-14,Buffalo,City,daily,44
2015-01-15,Buffalo,City,daily,47
2015-01-16,Buffalo,City,daily,45
2015-01-17,Buffalo,City,daily,39
2015-01-18,Buffalo,City,daily,55
2015-01-19,Buffalo,City,daily,43
2015-01-20,Buffalo,City,daily,41
2015-01-21,Buffalo,City,daily,39
2015-01-22,Buffalo,City,daily,40
2015-01-23,Buffalo,City,daily,49
2015-01-24,Buffalo,City,daily,36
2015-01-25,Buffalo,City,daily,46
2015-01-26,Buffalo,City,daily,39
2015-01-27,Buffalo,City,daily,50
2015-01-28,Buffalo,City,daily,38
2015-01-29,Buffalo,City,daily,45
2015-01-30,Buffalo,City,daily,50
2015-01-31,Buffalo,City,daily,41
2015-02-01,Buffalo,City,daily,46
2015-02-02,Buffalo,City,daily,26
2015-02-03,Buffalo,City,daily,45
2015-02-04,Buffalo,City,daily,39
2015-02-05,Buffalo,City,daily,30
2015-02-06,Buffalo,City,daily,26
2015-02-07,Buffalo,City,daily,42
2015-02-08,Buffalo,City,daily,31
2015-02-09,Buffalo,City,daily,42
2015-02-10,Buffalo,City,daily,43
2015-02-11,Buffalo,City,daily,41
2015-02-12,Buffalo,City,daily,42
2015-02-13,Buffalo,City,daily,22
2015-02-14,Buffalo,City,daily,27
2015-02-15,Buffalo,City,daily,26
2015-02-16,Buffalo,City,daily,33
2015-02-17,Buffalo,City,daily,35
2015-02-18,Buffalo,City,daily,26
2015-02-19,Buffalo,City,daily,27
2015-02-20,Buffalo,City,daily,36
2015-02-21,Buffalo,City,daily,27
2015-02-22,Buffalo,City,daily,41
2015-02-23,Buffalo,City,daily,30
2015-02-24,Buffalo,City,daily,37
2015-02-25,Buffalo,City,daily,39
2015-02-26,Buffalo,City,daily,24
2015-02-27,Buffalo,City,daily,42
2015-02-28,Buffalo,City,daily,30
2015-03-01,Buffalo,City,daily,38
2015-03-02,Buffalo,City,daily,26
2015-03-03,Buffalo,City,daily,50
2015-03-04,Buffalo,City,daily,26
2015-03-05,Buffalo,City,daily,35
2015-03-06,Buffalo,City,daily,31
2015-03-07,Buffalo,City,daily,26
2015-03-08,Buffalo,City,daily,36
2015-03-09,Buffalo,City,daily,36
2015-03-10,Buffalo,City,daily,29
2015-03-11,Buffalo,City,daily,34
2015-03-12,Buffalo,City,daily,35
2015-03-13,Buffalo,City,daily,51
2015-03-14,Buffalo,City,daily,41
2015-03-15,Buffalo,City,daily,48
2015-03-16,Buffalo,City,daily,45
2015-03-17,Buffalo,City,daily,25
2015-03-18,Buffalo,City,daily,44
2015-03-19,Buffalo,City,daily,48
2015-03-20,Buffalo,City,daily,44
2015-03-21,Buffalo,City,daily,47
2015-03-22,Buffalo,City,daily,39
2015-03-23,Buffalo,City,daily,41
2015-03-24,Buffalo,City,daily,31
2015-03-25,Buffalo,City,daily,50
2015-03-26,Buffalo,City,daily,39
2015-03-27,Buffalo,City,daily,36
2015-03-28,Buffalo,City,daily,39
2015-03-29,Buffalo,City,daily,30
2015-03-30,Buffalo,City,daily,39
2015-03-31,Buffalo,City,daily,32
2015-04-01,Buffalo,City,daily,50
2015-04-02,Buffalo,City,daily,34
2015-04-03,Buffalo,City,daily,42
2015-04-04,Buffalo,City,daily,44
2015-04-05,Buffalo,City,daily,42
2015-04-06,Buffalo,City,daily,34
2015-04-07,Buffalo,City,daily,38
2015-04-08,Buffalo,City,daily,34
2015-04-09,Buffalo,City,daily,41
2015-04-10,Buffalo,City,daily,38
2015-04-11,Buffalo,City,daily,39
2015-04-12,Buffalo,City,daily,41
2015-04-13,Buffalo,City,daily,48
2015-04-14,Buffalo,City,daily,42
2015-04-15,Buffalo,City,daily,36
2015-04-16,Buffalo,City,daily,46
2015-04-17,Buffalo,City,daily,55
2015-04-18,Buffalo,City,daily,50
2015-04-19,Buffalo,City,daily,48
2015-04-20,Buffalo,City,daily,53
2015-04-21,Buffalo,City,daily,43
2015-04-22,Buffalo,City,daily,45
2015-04-23,Buffalo,City,daily,45
2015-04-24,Buffalo,City,daily,59
2015-04-25,Buffalo,City,daily,32
2015-04-26,Buffalo,City,daily,35
2015-04-27,Buffalo,City,daily,39
2015-04-28,Buffalo,City,daily,40
2015-04-29,Buffalo,City,daily,52
2015-04-30,Buffalo,City,daily,45
2015-05-01,Buffalo,City,daily,58
2015-05-02,Buffalo,City,daily,64
2015-05-03,Buffalo,City,daily,43
2015-05-04,Buffalo,City,daily,54
2015-05-05,Buffalo,City,daily,42
2015-05-06,Buffalo,City,daily,45
2015-05-07,Buffalo,City,daily,39
2015-05-08,Buffalo,City,daily,42
2015-05-09,Buffalo,City,daily,52
2015-05-10,Buffalo,City,daily,58
2015-05-11,Buffalo,City,daily,46
2015-05-12,Buffalo,City,daily,40
2015-05-13,Buffalo,City,daily,48
2015-05-14,Buffalo,City,daily,55
2015-05-15,Buffalo,City,daily,48
2015-05-16,Buffalo,City,daily,42
2015-05-17,Buffalo,City,daily,57
2015-05-18,Buffalo,City,daily,48
2015-05-19,Buffalo,City,daily,42
2015-05-20,Buffalo,City,daily,57
2015-05-21,Buffalo,City,daily,39
2015-05-22,Buffalo,City,daily,52
2015-05-23,Buffalo,City,daily,60
2015-05-24,Buffalo,City,daily,50
2015-05-25,Buffalo,City,daily,42
2015-05-26,Buffalo,City,daily,59
2015-05-27,Buffalo,City,daily,53
