model_date,Geo,Geo_Level,Freq,Incidents,Split,yhat,yhat_lower,yhat_upper
2015-01-01,Allentown,neighborhood,monthly,19,Train,NA,NA,NA
2015-02-01,Allentown,neighborhood,monthly,22,Train,NA,NA,NA
2015-03-01,Allentown,neighborhood,monthly,17,Train,NA,NA,NA
2015-04-01,Allentown,neighborhood,monthly,20,Train,NA,NA,NA
2015-05-01,Allentown,neighborhood,monthly,28,Train,NA,NA,NA
2015-06-01,Allentown,neighborhood,monthly,48,Train,NA,NA,NA
2015-07-01,Allentown,neighborhood,monthly,43,Train,NA,NA,NA
2015-08-01,Allentown,neighborhood,monthly,33,Train,NA,NA,NA
2015-09-01,Allentown,neighborhood,monthly,34,Train,NA,NA,NA
2015-10-01,Allentown,neighborhood,monthly,25,Train,NA,NA,NA
2015-11-01,Allentown,neighborhood,monthly,28,Train,NA,NA,NA
2015-12-01,Allentown,neighborhood,monthly,33,Train,NA,NA,NA
2016-01-01,Allentown,neighborhood,monthly,36,Train,NA,NA,NA
2016-02-01,Allentown,neighborhood,monthly,22,Train,NA,NA,NA
2016-03-01,Allentown,neighborhood,monthly,19,Train,NA,NA,NA
2016-04-01,Allentown,neighborhood,monthly,21,Train,NA,NA,NA
2016-05-01,Allentown,neighborhood,monthly,25,Train,NA,NA,NA
2016-06-01,Allentown,neighborhood,monthly,25,Train,NA,NA,NA
2016-07-01,Allentown,neighborhood,monthly,14,Train,NA,NA,NA
2016-08-01,Allentown,neighborhood,monthly,23,Train,NA,NA,NA
2016-09-01,Allentown,neighborhood,monthly,36,Train,NA,NA,NA
2016-10-01,Allentown,neighborhood,monthly,25,Train,NA,NA,NA
2016-11-01,Allentown,neighborhood,monthly,37,Train,NA,NA,NA
2016-12-01,Allentown,neighborhood,monthly,20,Train,NA,NA,NA
2017-01-01,Allentown,neighborhood,monthly,20,Train,NA,NA,NA
2017-02-01,Allentown,neighborhood,monthly,25,Train,NA,NA,NA
2017-03-01,Allentown,neighborhood,monthly,23,Train,NA,NA,NA
2017-04-01,Allentown,neighborhood,monthly,34,Train,NA,NA,NA
2017-05-01,Allentown,neighborhood,monthly,25,Train,NA,NA,NA
2017-06-01,Allentown,neighborhood,monthly,30,Train,NA,NA,NA
2017-07-01,Allentown,neighborhood,monthly,40,Train,NA,NA,NA
2017-08-01,Allentown,neighborhood,monthly,30,Train,NA,NA,NA
2017-09-01,Allentown,neighborhood,monthly,28,Train,NA,NA,NA
2017-10-01,Allentown,neighborhood,monthly,38,Train,NA,NA,NA
2017-11-01,Allentown,neighborhood,monthly,25,Train,NA,NA,NA
2017-12-01,Allentown,neighborhood,monthly,31,Train,NA,NA,NA
2018-01-01,Allentown,neighborhood,monthly,20,Train,NA,NA,NA
2018-02-01,Allentown,neighborhood,monthly,21,Train,NA,NA,NA
2018-03-01,Allentown,neighborhood,monthly,20,Train,NA,NA,NA
2018-04-01,Allentown,neighborhood,monthly,28,Train,NA,NA,NA
2018-05-01,Allentown,neighborhood,monthly,28,Train,NA,NA,NA
2018-06-01,Allentown,neighborhood,monthly,29,Train,NA,NA,NA
2018-07-01,Allentown,neighborhood,monthly,30,Train,NA,NA,NA
2018-08-01,Allentown,neighborhood,monthly,36,Train,NA,NA,NA
2018-09-01,Allentown,neighborhood,monthly,36,Train,NA,NA,NA
2018-10-01,Allentown,neighborhood,monthly,32,Train,NA,NA,NA
2018-11-01,Allentown,neighborhood,monthly,18,Train,NA,NA,NA
2018-12-01,Allentown,neighborhood,monthly,20,Train,NA,NA,NA
2019-01-01,Allentown,neighborhood,monthly,18,Train,NA,NA,NA
2019-02-01,Allentown,neighborhood,monthly,23,Train,NA,NA,NA
2019-03-01,Allentown,neighborhood,monthly,19,Train,NA,NA,NA
2019-04-01,Allentown,neighborhood,monthly,17,Train,NA,NA,NA
2019-05-01,Allentown,neighborhood,monthly,22,Train,NA,NA,NA
2019-06-01,Allentown,neighborhood,monthly,26,Train,NA,NA,NA
2019-07-01,Allentown,neighborhood,monthly,19,Train,NA,NA,NA
2019-08-01,Allentown,neighborhood,monthly,24,Train,NA,NA,NA
2019-09-01,Allentown,neighborhood,monthly,15,Train,NA,NA,NA
2019-10-01,Allentown,neighborhood,monthly,32,Train,NA,NA,NA
2019-11-01,Allentown,neighborhood,monthly,21,Train,NA,NA,NA
2019-12-01,Allentown,neighborhood,monthly,25,Train,NA,NA,NA
2020-01-01,Allentown,neighborhood,monthly,22,Test,24.441321307210224,17.620710293162052,31.228961305512225
2020-02-01,Allentown,neighborhood,monthly,17,Test,17.277884327983365,10.068121703284584,23.94158256915348
2020-03-01,Allentown,neighborhood,monthly,14,Test,17.22554557206108,10.154611272089339,24.355593373142
2020-04-01,Allentown,neighborhood,monthly,15,Test,25.174467524934812,18.408814897075803,31.534508650831622
2020-05-01,Allentown,neighborhood,monthly,21,Test,23.40908821789021,16.621180989250774,30.010006901184873
2020-06-01,Allentown,neighborhood,monthly,18,Test,23.02987425062566,16.25762664878253,29.336233444174564
2020-07-01,Allentown,neighborhood,monthly,19,Test,21.05920933110989,14.203995063640352,28.036305285129117
